id,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_identity_verified,neighbourhood,room_type,accommodates,bedrooms,beds,amenities,minimum_nights,maximum_nights,has_availability,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month
12651,49735,Laurel,10/29/09,within an hour,100%,98%,t,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,Menlo Park,Entire home/apt,1,1,1,"[""Private entrance"", ""Long term stays allowed"", ""Garden or backyard"", ""TJs Tea Tree Tingle conditioner"", ""Hot water"", ""Wifi"", ""Washer"", ""Kitchen"", ""Dryer"", ""Shampoo"", ""Essentials"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Shower gel"", ""Portable fans"", ""Free street parking"", ""Dedicated workspace"", ""Heating"", ""Carbon monoxide alarm"", ""Iron"", ""Extra pillows and blankets"", ""Refrigerator"", ""Fire extinguisher"", ""Hangers"", ""First aid kit"", ""Smoke alarm"", ""Microwave"", ""Coffee maker"", ""Dishes and silverware"", ""Single level home"", ""Free parking on premises"", ""Patio or balcony"", ""Bed linens""]",3,365,t,356,151,98,t,1.13
39342,127367,Annette,5/18/10,within a few hours,100%,40%,f,"['email', 'phone', 'reviews', 'offline_government_id', 'kba', 'government_id']",t,Pacifica,Entire home/apt,3,2,2,"[""Refrigerator"", ""Hot water"", ""Dishes and silverware"", ""Patio or balcony"", ""Bed linens"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Iron"", ""Free street parking"", ""Microwave"", ""Keypad"", ""Dryer"", ""TV"", ""Private entrance"", ""Cable TV"", ""Dedicated workspace"", ""Cooking basics"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer"", ""Stove""]",30,365,t,365,2,90,f,0.02
40560,174725,Megan,7/20/10,N/A,N/A,48%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,East Palo Alto,Private room,2,1,1,"[""Hot water"", ""Hangers"", ""Wifi"", ""Host greets you"", ""Smoke alarm"", ""EV charger"", ""First aid kit"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Coffee maker"", ""Dedicated workspace"", ""Heating"", ""Iron"", ""Long term stays allowed"", ""Free street parking"", ""Carbon monoxide alarm"", ""Garden or backyard"", ""Cleaning before checkout"", ""Cable TV"", ""TV"", ""Shampoo""]",1,100,t,365,133,98,f,1.06
44504,195645,Maggie,8/8/10,within an hour,100%,100%,t,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,Burlingame,Entire home/apt,2,1,1,"[""Iron"", ""Dishes and silverware"", ""Shampoo"", ""Laundromat nearby"", ""Fire extinguisher"", ""Patio or balcony"", ""Essentials"", ""Wine glasses"", ""Microwave"", ""Free street parking"", ""Smoke alarm"", ""First aid kit"", ""Carbon monoxide alarm"", ""Clothing storage"", ""Cleaning products"", ""Pour-over coffee"", ""Dedicated workspace"", ""Hair dryer"", ""Dining table"", ""Hot water"", ""Bed linens"", ""TV"", ""Heating"", ""Hangers"", ""Wifi"", ""Private entrance"", ""Coffee maker"", ""Room-darkening shades"", ""Refrigerator"", ""Hot water kettle"", ""Mini fridge"", ""Host greets you"", ""Extra pillows and blankets""]",3,28,t,179,150,97,f,1.2
45287,200479,Diane And Mike,8/13/10,within an hour,100%,94%,t,"['email', 'phone', 'reviews', 'kba']",t,Burlingame,Entire home/apt,2,,1,"[""Refrigerator"", ""Hot water"", ""Lockbox"", ""Dishes and silverware"", ""Patio or balcony"", ""Bed linens"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Ethernet connection"", ""Coffee maker"", ""Wifi"", ""Iron"", ""Free street parking"", ""Shower gel"", ""Host greets you"", ""First aid kit"", ""Microwave"", ""Breakfast"", ""Dryer"", ""TV"", ""Private entrance"", ""Cable TV"", ""Garden or backyard"", ""Single level home"", ""Dedicated workspace"", ""Free parking on premises"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer"", ""Baking sheet""]",3,1125,t,177,257,98,f,2.07
45444,174725,Megan,7/20/10,N/A,N/A,48%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,East Palo Alto,Private room,2,1,1,"[""Iron"", ""Shampoo"", ""Smoke alarm"", ""Private living room"", ""Carbon monoxide alarm"", ""Heating"", ""Hangers"", ""Wifi"", ""Essentials"", ""Free parking on premises"", ""Lockbox"", ""Dedicated workspace"", ""Hair dryer""]",1,7,t,365,46,98,f,0.38
55301,261070,Shannon,10/13/10,N/A,N/A,100%,t,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']",t,Menlo Park,Entire home/apt,3,1,1,"[""Private entrance"", ""Long term stays allowed"", ""Garden or backyard"", ""Hot water"", ""Washer"", ""Wifi"", ""Dryer"", ""Ethernet connection"", ""Shampoo"", ""Hair dryer"", ""Essentials"", ""Kitchen"", ""Luggage dropoff allowed"", ""Lockbox"", ""Free street parking"", ""Carbon monoxide alarm"", ""Heating"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""Stove"", ""Oven"", ""Extra pillows and blankets"", ""Body soap"", ""Refrigerator"", ""Cable TV"", ""Fire extinguisher"", ""TV"", ""Hangers"", ""First aid kit"", ""Smoke alarm"", ""Microwave"", ""Baking sheet"", ""Ceiling fan"", ""Coffee maker"", ""Cooking basics"", ""Dishes and silverware"", ""Conditioner"", ""Central air conditioning"", ""Single level home"", ""Free parking on premises"", ""Patio or balcony"", ""Bed linens""]",30,730,t,331,43,98,f,0.37
63146,308176,Jennifer,12/2/10,N/A,N/A,N/A,f,"['email', 'phone']",f,Menlo Park,Entire home/apt,8,3,6,"[""Free parking on premises"", ""Heating"", ""Hangers"", ""Hair dryer"", ""TV"", ""Dedicated workspace"", ""Indoor fireplace"", ""Fire extinguisher"", ""Air conditioning"", ""Essentials"", ""Smoke alarm"", ""Dryer"", ""Luggage dropoff allowed"", ""Lockbox"", ""Iron"", ""Shampoo"", ""Bed linens"", ""Kitchen"", ""Washer"", ""First aid kit"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Wifi"", ""Long term stays allowed"", ""Hot water"", ""Private entrance"", ""Cable TV""]",2,30,t,364,1,,f,0.04
72211,101491,Jennifer,3/31/10,within an hour,100%,100%,t,"['email', 'phone', 'reviews']",f,Portola Valley,Entire home/apt,8,3,5,"[""Iron"", ""Dishes and silverware"", ""Shampoo"", ""Fire extinguisher"", ""Keypad"", ""Single level home"", ""Patio or balcony"", ""Essentials"", ""Microwave"", ""Free street parking"", ""Cable TV"", ""Smoke alarm"", ""Extra pillows and blankets"", ""First aid kit"", ""Carbon monoxide alarm"", ""Garden or backyard"", ""Ethernet connection"", ""Dedicated workspace"", ""High chair"", ""Hair dryer"", ""Hot tub"", ""Stove"", ""Bathtub"", ""Dishwasher"", ""Hot water"", ""Bed linens"", ""TV"", ""Air conditioning"", ""Heating"", ""Hangers"", ""Wifi"", ""Pool"", ""Free parking on premises"", ""Oven"", ""Private entrance"", ""Coffee maker"", ""Room-darkening shades"", ""Refrigerator"", ""Children\u2019s books and toys"", ""Game console"", ""Kitchen"", ""Long term stays allowed"", ""Washer"", ""Pack \u2019n Play/travel crib"", ""Cooking basics"", ""Dryer""]",3,190,t,262,103,98,t,0.88
83584,127367,Annette,5/18/10,within a few hours,100%,40%,f,"['email', 'phone', 'reviews', 'offline_government_id', 'kba', 'government_id']",t,Pacifica,Entire home/apt,2,1,1,"[""Refrigerator"", ""Hot water"", ""Dishes and silverware"", ""Oven"", ""Hair dryer"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Iron"", ""Free street parking"", ""Microwave"", ""Keypad"", ""Dryer"", ""TV"", ""Dedicated workspace"", ""Cooking basics"", ""Kitchen"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer""]",30,290,t,365,6,90,f,0.09
